from,to,d,EF
Industry,Forest,7,-0.028682245229303155
Industry,Forest,8,0.019180136904207095
Industry,Extensive grasslands,0,-0.019144206077510828
Industry,Extensive grasslands,1,-0.056932766966910658
Industry,Extensive grasslands,2,-0.14408294268581093
Industry,Extensive grasslands,3,-0.23302402602259195
Industry,Extensive grasslands,4,-0.1903978593492055
Industry,Extensive grasslands,5,-0.13964515274711586
Industry,Extensive grasslands,6,-0.027516099042299024
Industry,Extensive grasslands,7,-0.021684916634200555
Industry,Extensive grasslands,8,-0.15163473278655418
Industry,Nature,0,0.10528688058180845
Industry,Nature,1,0.17610629185109919
Industry,Nature,2,0.1167890202824204
Industry,Nature,3,0.12429310938412713
Industry,Nature,4,0.1317161896509578
Industry,Nature,5,0.17408081781193799
Industry,Nature,6,0.13672872691661858
Industry,Nature,7,0.1034079660340487
Industry,Nature,8,0.094012220595541124
Industry,Recreation areas,0,0.09419547215236114
Industry,Recreation areas,1,0.16780161619844011
Industry,Recreation areas,2,0.20292586933222917
Industry,Recreation areas,3,0.2213078284504108
Industry,Recreation areas,4,0.23512219162774825
Industry,Recreation areas,5,0.23080173650006774
Industry,Recreation areas,6,0.19143430944063547
Industry,Recreation areas,7,0.21868994132712297
Industry,Recreation areas,8,0.19079973403830858
Services,Greenhouses,0,-9999.0
Services,Greenhouses,1,-9999.0
Services,Greenhouses,2,-0.57749872643922229
Services,Greenhouses,3,-0.049224949272178652
Services,Greenhouses,4,-0.10988249066451096
Services,Greenhouses,5,-0.0016484301144553254
Services,Greenhouses,6,-0.026730232707845504
Services,Greenhouses,7,0.036073920232909833
Services,Greenhouses,8,0.10591385668898558
Services,Housing low density,0,0.8178898175938335
Services,Housing low density,1,0.27231118221831929
Services,Housing low density,2,0.41525922890390571
Services,Housing low density,3,0.34663221681712808
Services,Housing low density,4,0.33041384595945045
Services,Housing low density,5,0.30369664781025452
Services,Housing low density,6,0.25135806112211373
Services,Housing low density,7,0.18721234259968547
Services,Housing low density,8,0.24433359724377415
Services,Housing high density,0,1.4779046731618171
Services,Housing high density,1,0.81962175759501488
Services,Housing high density,2,0.85928378694598795
Services,Housing high density,3,0.84472942643919391
Services,Housing high density,4,0.78078794333669888
Services,Housing high density,5,0.5813614273420491
Services,Housing high density,6,0.53427159737963148
Services,Housing high density,7,0.50904525329225314
Services,Housing high density,8,0.417411034903102
Services,Industry,0,1.1474891014880673
Services,Industry,1,0.50614408637076447
Services,Industry,2,0.46112020152828148
Services,Industry,3,0.34489385020129382
Services,Industry,4,0.34730532492626687
Services,Industry,5,0.29511519664997699
Services,Industry,6,0.30397050290658417
Services,Industry,7,0.23625266475778361
Services,Industry,8,0.1287737657369625
Services,Services,0,-9999.0
Services,Services,1,1.2342198715906896
Services,Services,2,1.0206662210052158
Services,Services,3,0.66994844115212715
Services,Services,4,0.62061459117577744
Services,Services,5,0.53622966345570899
Services,Services,6,0.62221439447756888
Services,Services,7,0.43301588746358199
Services,Services,8,0.46167249872504451
Services,Socio cultural uses,0,1.4761284151360143
Services,Socio cultural uses,1,1.0871432491169031
Services,Socio cultural uses,2,0.87943508619532584
Services,Socio cultural uses,3,0.83856693702704033
Services,Socio cultural uses,4,0.69985657309031213
Services,Socio cultural uses,5,0.53682191169776738
Services,Socio cultural uses,6,0.52785141927170909
Services,Socio cultural uses,7,0.34820120330130266
Services,Socio cultural uses,8,0.30807952180267062
Services,Forest,0,-9999.0
Services,Forest,1,-9999.0
Services,Forest,2,-0.52436763800975317
Services,Forest,3,-0.47321511556237178
Services,Forest,4,-0.092937594646989252
Services,Forest,5,0.017569301741312302
Services,Forest,6,-0.081174773826669711
Services,Forest,7,0.00059251044382344542
Services,Forest,8,-0.098901444104435313
Services,Extensive grasslands,0,-9999.0
Services,Extensive grasslands,1,-9999.0
Services,Extensive grasslands,2,-9999.0
Services,Extensive grasslands,3,-0.28658586506678246
Services,Extensive grasslands,4,-0.58761586073076366
Services,Extensive grasslands,5,-0.52962391375307705
Services,Extensive grasslands,6,-0.20740461901915774
Services,Extensive grasslands,7,-0.18984248347397731
Services,Extensive grasslands,8,-0.3112018014142498
Services,Nature,0,0.38875269047311783
Services,Nature,1,-0.11639728784678804
Services,Nature,2,-0.093569757932352268
Services,Nature,3,-0.14555551658800148
Services,Nature,4,-0.026941648337752346
Services,Nature,5,0.0015478247463714498
Services,Nature,6,0.099412318695652022
Services,Nature,7,0.070220300704118499
Services,Nature,8,0.066064577038799088
Services,Recreation areas,0,0.53795827391611994
Services,Recreation areas,1,0.50016971302672009
Services,Recreation areas,2,0.44925213485442356
Services,Recreation areas,3,0.50112184718608388
Services,Recreation areas,4,0.50821035138337645
Services,Recreation areas,5,0.57666385898369754
Services,Recreation areas,6,0.5279079582747811
Services,Recreation areas,7,0.50161514206416891
Services,Recreation areas,8,0.40483046586964405
Socio cultural uses,Greenhouses,0,-9999.0
Socio cultural uses,Greenhouses,1,-0.54982729984136391
Socio cultural uses,Greenhouses,2,-0.2999498266247641
Socio cultural uses,Greenhouses,3,-0.43712301965007561
Socio cultural uses,Greenhouses,4,0.048270761035576655
Socio cultural uses,Greenhouses,5,-0.0964496295785605
Socio cultural uses,Greenhouses,6,-0.0242504800417285
Socio cultural uses,Greenhouses,7,-0.088485037188180904
Socio cultural uses,Greenhouses,8,-0.16452631272299331
Socio cultural uses,Housing low density,0,0.82917082800352249
Socio cultural uses,Housing low density,1,0.37004551618744785
Socio cultural uses,Housing low density,2,0.27436113162039205
Socio cultural uses,Housing low density,3,0.2859613431187939
Socio cultural uses,Housing low density,4,0.22671002510840846
Socio cultural uses,Housing low density,5,0.16885152843877382
Socio cultural uses,Housing low density,6,0.18774233603357346
Socio cultural uses,Housing low density,7,0.16851212023096224
Socio cultural uses,Housing low density,8,0.15848000243756383
Socio cultural uses,Housing high density,0,1.2113855286259998
Socio cultural uses,Housing high density,1,0.58418250193528221
Socio cultural uses,Housing high density,2,0.43323427824235644
Socio cultural uses,Housing high density,3,0.51991916044421127
Socio cultural uses,Housing high density,4,0.47127242064215452
Socio cultural uses,Housing high density,5,0.4968634172685425
Socio cultural uses,Housing high density,6,0.43315226995303419
Socio cultural uses,Housing high density,7,0.34663868119609648
Socio cultural uses,Housing high density,8,0.32561031852649097
Socio cultural uses,Industry,0,0.48522520728584206
Socio cultural uses,Industry,1,0.25192334086095192
Socio cultural uses,Industry,2,0.20635067566191992
Socio cultural uses,Industry,3,0.15208556940232751
Socio cultural uses,Industry,4,0.13828444950089469
Socio cultural uses,Industry,5,0.11918140520967153
Socio cultural uses,Industry,6,0.067149578586939651
Socio cultural uses,Industry,7,0.072896124941400325
Socio cultural uses,Industry,8,0.10045799761005716
Socio cultural uses,Services,0,0.77140608191090398
Socio cultural uses,Services,1,0.68122945156181614
Socio cultural uses,Services,2,0.59531482285522275
Socio cultural uses,Services,3,0.41264919541533562
Socio cultural uses,Services,4,0.33750671585220143
Socio cultural uses,Services,5,0.32140641895696093
Socio cultural uses,Services,6,0.42221271365353158
Socio cultural uses,Services,7,0.39551621398194081
Socio cultural uses,Services,8,0.14544930670562636
Socio cultural uses,Socio cultural uses,0,-9999.0
Socio cultural uses,Socio cultural uses,1,1.0749621016246096
Socio cultural uses,Socio cultural uses,2,0.80937269001453327
Socio cultural uses,Socio cultural uses,3,0.58159837601459718
Socio cultural uses,Socio cultural uses,4,0.582342286176742
Socio cultural uses,Socio cultural uses,5,0.4519256828071988
Socio cultural uses,Socio cultural uses,6,0.32417950765892167
Socio cultural uses,Socio cultural uses,7,0.38719236389283035
Socio cultural uses,Socio cultural uses,8,0.2149913876699458
Socio cultural uses,Forest,0,0.40639377558004874
Socio cultural uses,Forest,1,0.20227379292412395
Socio cultural uses,Forest,2,0.084777249134290258
Socio cultural uses,Forest,3,-0.044289380059293046
Socio cultural uses,Forest,4,0.074007088586477712
Socio cultural uses,Forest,5,0.090733529730667575
Socio cultural uses,Forest,6,0.10224791011197042
Socio cultural uses,Forest,7,0.12459793957873162
Socio cultural uses,Forest,8,0.061311602092598283
Socio cultural uses,Extensive grasslands,0,-9999.0
Socio cultural uses,Extensive grasslands,1,-0.31006696091630542
Socio cultural uses,Extensive grasslands,2,0.15968069593456283
Socio cultural uses,Extensive grasslands,3,0.03672052530835089
Socio cultural uses,Extensive grasslands,4,-0.2431201712856923
Socio cultural uses,Extensive grasslands,5,-0.22404629033837528
Socio cultural uses,Extensive grasslands,6,-0.19407248486563769
Socio cultural uses,Extensive grasslands,7,-0.080057387732117319
Socio cultural uses,Extensive grasslands,8,-0.15993899805258383
Socio cultural uses,Nature,0,0.80460428845385756
Socio cultural uses,Nature,1,0.32522107819431711
Socio cultural uses,Nature,2,0.25536940361828481
Socio cultural uses,Nature,3,0.10445243416657939
Socio cultural uses,Nature,4,0.12915591867560586
Socio cultural uses,Nature,5,0.055065081856573425
Socio cultural uses,Nature,6,0.089890362877539876
Socio cultural uses,Nature,7,0.0956175466369623
Socio cultural uses,Nature,8,0.088103151522849976
Socio cultural uses,Recreation areas,0,0.560234668627272
Socio cultural uses,Recreation areas,1,0.31647219194664533
Socio cultural uses,Recreation areas,2,0.39514461027805953
Socio cultural uses,Recreation areas,3,0.42932646857130463
Socio cultural uses,Recreation areas,4,0.35493660975159996
Socio cultural uses,Recreation areas,5,0.36908241950088078
Socio cultural uses,Recreation areas,6,0.32757667663086448
Socio cultural uses,Recreation areas,7,0.22722691730122677
Socio cultural uses,Recreation areas,8,0.19534609758463489
Forest,Greenhouses,0,-1.0704142483421166
Forest,Greenhouses,1,-0.62547767699385548
Forest,Greenhouses,2,-0.63750971230167786
Forest,Greenhouses,3,-0.63296569838640537
Forest,Greenhouses,4,-0.64808433605633864
Forest,Greenhouses,5,-0.70851462102747542
Forest,Greenhouses,6,-0.62058285278058634
Forest,Greenhouses,7,-0.66622749148284344
Forest,Greenhouses,8,-0.67435550776065833
Forest,Housing low density,0,-1.0094794554599915
Forest,Housing low density,1,-0.65564562554203953
Forest,Housing low density,2,-0.40609447647248981
Forest,Housing low density,3,-0.31146571961835517
Forest,Housing low density,4,-0.23248049521652869
Forest,Housing low density,5,-0.20149267937805623
Forest,Housing low density,6,-0.16234103431474539
Forest,Housing low density,7,-0.13912177784860585
Forest,Housing low density,8,-0.13727452839360077
Forest,Housing high density,0,-9999.0
Forest,Housing high density,1,-0.99728208178064537
Forest,Housing high density,2,-0.49127126178760316
Forest,Housing high density,3,-0.5609970810323881
Forest,Housing high density,4,-0.48815805113273164
Forest,Housing high density,5,-0.36024036995025754
Forest,Housing high density,6,-0.3071017836447909
Forest,Housing high density,7,-0.32664298458378566
Forest,Housing high density,8,-0.36601070813879122
Forest,Industry,0,-1.2146581401458032
Forest,Industry,1,-0.56359560344401871
Forest,Industry,2,-0.41345149035124429
Forest,Industry,3,-0.3590329134790724
Forest,Industry,4,-0.32616926733635282
Forest,Industry,5,-0.25234752788132575
Forest,Industry,6,-0.20265175283659281
Forest,Industry,7,-0.16948997721714976
Forest,Industry,8,-0.14493897396367939
Forest,Services,0,-9999.0
Forest,Services,1,-0.77720959019009206
Forest,Services,2,-0.77720959019009206
Forest,Services,3,-0.50485219442205942
Forest,Services,4,-0.30854778645099601
Forest,Services,5,-0.27919121076405551
Forest,Services,6,-0.23099514447578762
Forest,Services,7,-0.16274136130930861
Forest,Services,8,-0.1580382975742223
Forest,Socio cultural uses,0,-0.57308960753416727
Forest,Socio cultural uses,1,-0.30591787913115343
Forest,Socio cultural uses,2,-0.31220463259358133
Forest,Socio cultural uses,3,-0.2196995840235442
Forest,Socio cultural uses,4,-0.14401258926701463
Forest,Socio cultural uses,5,-0.075748475136967655
Forest,Socio cultural uses,6,-0.026699837389230149
Forest,Socio cultural uses,7,0.01126972811831148
Forest,Socio cultural uses,8,0.084386047060034011
Forest,Forest,0,-9999.0
Forest,Forest,1,0.53755918760681143
Forest,Forest,2,0.48194556437096331
Forest,Forest,3,0.43946831387141305
Forest,Forest,4,0.37873401603580115
Forest,Forest,5,0.32056488821142182
Forest,Forest,6,0.27243978333134106
Forest,Forest,7,0.23492827226160412
Forest,Forest,8,0.20387117961397888
Forest,Extensive grasslands,0,-0.22859391808909585
Forest,Extensive grasslands,1,-0.026173720311065428
Forest,Extensive grasslands,2,-0.057149248726435023
Forest,Extensive grasslands,3,-0.13037826195645363
Forest,Extensive grasslands,4,-0.027108758468489653
Forest,Extensive grasslands,5,-0.018784877825577476
Forest,Extensive grasslands,6,-0.076291768519591713
Forest,Extensive grasslands,7,-0.0855673438616395
Forest,Extensive grasslands,8,-0.024340858359034656
Forest,Nature,0,-0.03721604179916331
Forest,Nature,1,0.16819456433825619
Forest,Nature,2,0.21845831895199852
Forest,Nature,3,0.22636398370289285
Forest,Nature,4,0.23137105814009501
Forest,Nature,5,0.21063611121087181
Forest,Nature,6,0.19612494494111296
Forest,Nature,7,0.17062210726739793
Forest,Nature,8,0.15090035068871333
Forest,Recreation areas,0,0.053011681684500801
Forest,Recreation areas,1,0.020583968378440082
Forest,Recreation areas,2,0.023290418443578546
Forest,Recreation areas,3,0.032641066375432515
Forest,Recreation areas,4,0.0094996228321388692
Forest,Recreation areas,5,0.00016234684109285371
Forest,Recreation areas,6,0.0069934346019883756
Forest,Recreation areas,7,-0.0053724664075874276
Forest,Recreation areas,8,-0.0007759701128344658
Extensive grasslands,Greenhouses,0,-9999.0
Extensive grasslands,Greenhouses,1,-0.5018586314881377
Extensive grasslands,Greenhouses,2,-0.55301115393551903
Extensive grasslands,Greenhouses,3,-0.15932749905295601
Extensive grasslands,Greenhouses,4,-0.14675834170891405
Extensive grasslands,Greenhouses,5,-0.26701903476102834
Extensive grasslands,Greenhouses,6,-0.27994894779223822
Extensive grasslands,Greenhouses,7,-0.46207361827741994
Extensive grasslands,Greenhouses,8,-0.50750704860505602
Extensive grasslands,Housing low density,0,-0.53783385161406916
Extensive grasslands,Housing low density,1,-0.26276941898655815
Extensive grasslands,Housing low density,2,-0.24969548837733024
Extensive grasslands,Housing low density,3,-0.1759868250800701
Extensive grasslands,Housing low density,4,-0.09253584496808305
Extensive grasslands,Housing low density,5,-0.052802392478284887
Extensive grasslands,Housing low density,6,-0.047796754210424973
Extensive grasslands,Housing low density,7,-0.091936686173346008
Extensive grasslands,Housing low density,8,-0.057435884468651083
Extensive grasslands,Housing high density,0,-9999.0
Extensive grasslands,Housing high density,1,-0.49567325455727951
Extensive grasslands,Housing high density,2,-0.03494241602578646
Extensive grasslands,Housing high density,3,-0.14241972608339151
Extensive grasslands,Housing high density,4,-0.23429496041788381
Extensive grasslands,Housing high density,5,-0.086205369887477887
Extensive grasslands,Housing high density,6,-0.27451930906686267
Extensive grasslands,Housing high density,7,-0.3402707750527309
Extensive grasslands,Housing high density,8,-0.063971379904094697
Extensive grasslands,Industry,0,-0.34507252762784313
Extensive grasslands,Industry,1,-0.51730336587028614
Extensive grasslands,Industry,2,-0.36873644582563658
Extensive grasslands,Industry,3,-0.23064212787213831
Extensive grasslands,Industry,4,-0.32669845546567078
Extensive grasslands,Industry,5,-0.1874478134600607
Extensive grasslands,Industry,6,-0.13745537712991368
Extensive grasslands,Industry,7,-0.074851523311875834
Extensive grasslands,Industry,8,0.0043769845241584636
Extensive grasslands,Services,0,-9999.0
Extensive grasslands,Services,1,-0.032562714280431858
Extensive grasslands,Services,2,-0.68577522805577551
Extensive grasslands,Services,3,0.0088299708777931536
Extensive grasslands,Services,4,-0.2208884297531247
Extensive grasslands,Services,5,-0.06701158974214691
Extensive grasslands,Services,6,-0.28783521938373796
Extensive grasslands,Services,7,-0.27172063329814211
Extensive grasslands,Services,8,-0.2692546076521245
Extensive grasslands,Socio cultural uses,0,-9999.0
Extensive grasslands,Socio cultural uses,1,-0.60659398200815062
Extensive grasslands,Socio cultural uses,2,-0.78268524106383186
Extensive grasslands,Socio cultural uses,3,-0.2086539733361131
Extensive grasslands,Socio cultural uses,4,-0.22386372565062188
Extensive grasslands,Socio cultural uses,5,-0.043444664778607582
Extensive grasslands,Socio cultural uses,6,-0.063913927317885255
Extensive grasslands,Socio cultural uses,7,-0.013303598991871802
Extensive grasslands,Socio cultural uses,8,-0.063871363153602992
Extensive grasslands,Forest,0,0.39637049695558824
Extensive grasslands,Forest,1,0.15333244826929385
Extensive grasslands,Forest,2,0.14991929115558769
Extensive grasslands,Forest,3,0.080397230677166101
Extensive grasslands,Forest,4,-0.0026566896966089852
Extensive grasslands,Forest,5,0.028391551667827288
Extensive grasslands,Forest,6,0.046784873272612146
Extensive grasslands,Forest,7,0.11729118229649828
Extensive grasslands,Forest,8,0.10742386268988399
Extensive grasslands,Extensive grasslands,0,-9999.0
Extensive grasslands,Extensive grasslands,1,0.88814630930999072
Extensive grasslands,Extensive grasslands,2,0.73298582711858684
Extensive grasslands,Extensive grasslands,3,0.71033565051692571
Extensive grasslands,Extensive grasslands,4,0.52927494455600732
Extensive grasslands,Extensive grasslands,5,0.40410187974656281
Extensive grasslands,Extensive grasslands,6,0.29574674470809947
Extensive grasslands,Extensive grasslands,7,0.20166735245880363
Extensive grasslands,Extensive grasslands,8,0.2162400607871785
Extensive grasslands,Nature,0,0.054218320335153294
Extensive grasslands,Nature,1,0.16048093126318314
Extensive grasslands,Nature,2,0.22774904014676392
Extensive grasslands,Nature,3,0.22980989321285913
Extensive grasslands,Nature,4,0.1484764547859036
Extensive grasslands,Nature,5,0.053390194031115619
Extensive grasslands,Nature,6,0.015554533332338102
Extensive grasslands,Nature,7,-0.010937055608311402
Extensive grasslands,Nature,8,-0.026867636488765195
Extensive grasslands,Recreation areas,0,0.41268352608649111
Extensive grasslands,Recreation areas,1,0.13842591145011399
Extensive grasslands,Recreation areas,2,0.03070586166693642
Extensive grasslands,Recreation areas,3,-0.018530932742481576
Extensive grasslands,Recreation areas,4,-0.020067937663169649
Extensive grasslands,Recreation areas,5,-0.12572287094915804
Extensive grasslands,Recreation areas,6,-0.12572772206484156
Extensive grasslands,Recreation areas,7,-0.059464071674993658
Extensive grasslands,Recreation areas,8,-0.06970909963862848
Nature,Greenhouses,0,-9999.0
Nature,Greenhouses,1,-1.5682580697043096
Nature,Greenhouses,2,-0.87904790265744703
Nature,Greenhouses,3,-0.51486298503114947
Nature,Greenhouses,4,-0.4241278501107506
Nature,Greenhouses,5,-0.3547372023346807
Nature,Greenhouses,6,-0.36056902259788731
Nature,Greenhouses,7,-0.29850394235335742
Nature,Greenhouses,8,-0.30418909581890724
Nature,Housing low density,0,-0.60423328983024116
Nature,Housing low density,1,-0.80744427409496367
Nature,Housing low density,2,-0.63344011133605105
Nature,Housing low density,3,-0.53220423602390343
Nature,Housing low density,4,-0.49506829283089354
Nature,Housing low density,5,-0.40288303104559253
Nature,Housing low density,6,-0.34256499019375442
Nature,Housing low density,7,-0.30585090978055474
Nature,Housing low density,8,-0.25673841109982859
Nature,Housing high density,0,-0.53404396917320807
Nature,Housing high density,1,-0.89306591181487593
Nature,Housing high density,2,-0.61322521522083284
Nature,Housing high density,3,-0.44967395791665754
Nature,Housing high density,4,-0.46461785505529368
Nature,Housing high density,5,-0.35255650473924965
Nature,Housing high density,6,-0.25507751400758288
Nature,Housing high density,7,-0.18920757912658187
Nature,Housing high density,8,-0.14577417822405547
Nature,Industry,0,-0.28653322923571511
Nature,Industry,1,-0.46123078043203747
Nature,Industry,2,-0.46798030501592625
Nature,Industry,3,-0.4315586231498893
Nature,Industry,4,-0.38098965012551655
Nature,Industry,5,-0.33023844044224077
Nature,Industry,6,-0.27836962547478616
Nature,Industry,7,-0.22725488848833436
Nature,Industry,8,-0.200482771147659
Nature,Services,0,-9999.0
Nature,Services,1,-1.0709334288963601
Nature,Services,2,-0.42118144723052303
Nature,Services,3,-0.36300858190741508
Nature,Services,4,-0.26552792851997764
Nature,Services,5,-0.22672260978699682
Nature,Services,6,-0.15694393709215118
Nature,Services,7,-0.116461344957841
Nature,Services,8,-0.11362690025538899
Nature,Socio cultural uses,0,-0.76990343323237898
Nature,Socio cultural uses,1,-1.1958721655046602
Nature,Socio cultural uses,2,-0.49761298847722091
Nature,Socio cultural uses,3,-0.3902532081013913
Nature,Socio cultural uses,4,-0.26802796352945218
Nature,Socio cultural uses,5,-0.2405264757411727
Nature,Socio cultural uses,6,-0.28017367029588347
Nature,Socio cultural uses,7,-0.19804743023062785
Nature,Socio cultural uses,8,-0.16623268134453334
Nature,Forest,0,-0.61203699428289682
Nature,Forest,1,-0.32479528310454908
Nature,Forest,2,-0.10759261235199954
Nature,Forest,3,-0.00048275214924226745
Nature,Forest,4,0.069876613450040717
Nature,Forest,5,0.098547146005667968
Nature,Forest,6,0.085736244206700965
Nature,Forest,7,0.10389489793043051
Nature,Forest,8,0.098088563209556251
Nature,Extensive grasslands,0,-0.72643773945128876
Nature,Extensive grasslands,1,-0.33727165508675622
Nature,Extensive grasslands,2,-0.11350869890748198
Nature,Extensive grasslands,3,-0.1823898390970233
Nature,Extensive grasslands,4,-0.04987232128604753
Nature,Extensive grasslands,5,-0.10524183503331078
Nature,Extensive grasslands,6,-0.16974054302429104
Nature,Extensive grasslands,7,-0.12562085264679237
Nature,Extensive grasslands,8,-0.14736284669692934
Nature,Nature,0,-9999.0
Nature,Nature,1,0.26926195752608778
Nature,Nature,2,0.22685873335214152
Nature,Nature,3,0.19051547983279238
Nature,Nature,4,0.17500603970937223
Nature,Nature,5,0.18753410772342827
Nature,Nature,6,0.21461680173702954
Nature,Nature,7,0.22104413389301733
Nature,Nature,8,0.21423430515388533
Nature,Recreation areas,0,0.17274001782851783
Nature,Recreation areas,1,-0.13979733177117964
Nature,Recreation areas,2,-0.21730730485637653
Nature,Recreation areas,3,-0.1657093490607012
Nature,Recreation areas,4,-0.12044914477754563
Nature,Recreation areas,5,-0.095374091788275744
Nature,Recreation areas,6,-0.09033639307416165
Nature,Recreation areas,7,-0.085635775136931727
Nature,Recreation areas,8,-0.076594130137790331
Recreation areas,Greenhouses,0,-0.0075226236991180351
Recreation areas,Greenhouses,1,-0.13246136030741801
Recreation areas,Greenhouses,2,0.015364361959390655
Recreation areas,Greenhouses,3,0.033438999903218546
Recreation areas,Greenhouses,4,0.053588668999814189
Recreation areas,Greenhouses,5,0.14039369756378414
Recreation areas,Greenhouses,6,0.15489143796426008
Recreation areas,Greenhouses,7,0.14502203692082269
Recreation areas,Greenhouses,8,0.13852039104978303
Recreation areas,Housing low density,0,0.35444216484698809
Recreation areas,Housing low density,1,0.21623962722021794
Recreation areas,Housing low density,2,0.27820854508278692
Recreation areas,Housing low density,3,0.24034330090492187
Recreation areas,Housing low density,4,0.24843765519925615
Recreation areas,Housing low density,5,0.23736879550167089
Recreation areas,Housing low density,6,0.19595530528957797
Recreation areas,Housing low density,7,0.18434459723422855
Recreation areas,Housing low density,8,0.17654631011030836
Recreation areas,Housing high density,0,0.66766953419031549
Recreation areas,Housing high density,1,0.49389864297978014
Recreation areas,Housing high density,2,0.56831116245360791
Recreation areas,Housing high density,3,0.59667235938471497
Recreation areas,Housing high density,4,0.51033356641326533
Recreation areas,Housing high density,5,0.45411979564621335
Recreation areas,Housing high density,6,0.42354384821403662
Recreation areas,Housing high density,7,0.40752931528760561
Recreation areas,Housing high density,8,0.38542390144347405
Recreation areas,Industry,0,0.040119010736108483
Recreation areas,Industry,1,0.11809837666280962
Recreation areas,Industry,2,0.1793180858602417
Recreation areas,Industry,3,0.21317594116286329
Recreation areas,Industry,4,0.20466717987817501
Recreation areas,Industry,5,0.18950937953047611
Recreation areas,Industry,6,0.18197395046951467
Recreation areas,Industry,7,0.16691901762900166
Recreation areas,Industry,8,0.1436131133560285
Recreation areas,Services,0,0.1095907753972253
Recreation areas,Services,1,0.3552796633322361
Recreation areas,Services,2,0.43082415714949346
Recreation areas,Services,3,0.44320380580801888
Recreation areas,Services,4,0.46998873632851107
Recreation areas,Services,5,0.43114274687865273
Recreation areas,Services,6,0.40379267673601882
Recreation areas,Services,7,0.38299472029240289
Recreation areas,Services,8,0.4127236995949124
Recreation areas,Socio cultural uses,0,0.73284006579512584
Recreation areas,Socio cultural uses,1,0.57909720859640323
Recreation areas,Socio cultural uses,2,0.45693909805489558
Recreation areas,Socio cultural uses,3,0.39746381562285982
Recreation areas,Socio cultural uses,4,0.3886701431704131
Recreation areas,Socio cultural uses,5,0.33888767884194498
Recreation areas,Socio cultural uses,6,0.33127440918036466
Recreation areas,Socio cultural uses,7,0.32109731066529723
Recreation areas,Socio cultural uses,8,0.31011664709430797
Recreation areas,Forest,0,0.74457846906636993
Recreation areas,Forest,1,0.33553258827028137
Recreation areas,Forest,2,0.17031017043143348
Recreation areas,Forest,3,0.067881874128704181
Recreation areas,Forest,4,0.034160637276712827
Recreation areas,Forest,5,0.042960046734976796
Recreation areas,Forest,6,0.025727247124496901
Recreation areas,Forest,7,0.049800762613840498
Recreation areas,Forest,8,0.076296346677326238
Recreation areas,Extensive grasslands,0,0.56802981714913359
Recreation areas,Extensive grasslands,1,0.1658936938834879
Recreation areas,Extensive grasslands,2,0.031053220937352827
Recreation areas,Extensive grasslands,3,0.037712092820818978
Recreation areas,Extensive grasslands,4,-0.036484769952947069
Recreation areas,Extensive grasslands,5,0.0015387224380338453
Recreation areas,Extensive grasslands,6,0.026510040298651383
Recreation areas,Extensive grasslands,7,-0.04482577761061686
Recreation areas,Extensive grasslands,8,0.020048477230996252
Recreation areas,Nature,0,0.45678395476852762
Recreation areas,Nature,1,0.23868257260491088
Recreation areas,Nature,2,0.16336246093087467
Recreation areas,Nature,3,0.074444909741701801
Recreation areas,Nature,4,0.058411822391253691
Recreation areas,Nature,5,0.076589567218592225
Recreation areas,Nature,6,0.063074114488071251
Recreation areas,Nature,7,0.046156494774768832
Recreation areas,Nature,8,0.065812308637919453
Recreation areas,Recreation areas,0,-9999.0
Recreation areas,Recreation areas,1,0.48377264617822502
Recreation areas,Recreation areas,2,0.42251983812917177
Recreation areas,Recreation areas,3,0.35200529227387489
Recreation areas,Recreation areas,4,0.30324540238773312
Recreation areas,Recreation areas,5,0.27052072110855868
Recreation areas,Recreation areas,6,0.26673395700987962
Recreation areas,Recreation areas,7,0.25838945719212369
Recreation areas,Recreation areas,8,0.23280499213633712
Airport,Greenhouses,0,-9999.0
Airport,Greenhouses,1,-9999.0
Airport,Greenhouses,2,-9999.0
Airport,Greenhouses,3,-0.12585900630592362
Airport,Greenhouses,4,0.43841242413263898
Airport,Greenhouses,5,0.2679250425949562
Airport,Greenhouses,6,0.37929097201398243
Airport,Greenhouses,7,0.25435223540568241
Airport,Greenhouses,8,0.35126224841373871
Airport,Housing low density,0,-9999.0
Airport,Housing low density,1,-0.63895548115151735
Airport,Housing low density,2,-1.1160767358711798
Airport,Housing low density,3,-0.9399854768154986
Airport,Housing low density,4,-0.15095595624168512
Airport,Housing low density,5,0.10140720834272653
Airport,Housing low density,6,0.26195758658615148
Airport,Housing low density,7,0.44537845504680346
Airport,Housing low density,8,0.50457974394844107
Airport,Housing high density,0,-9999.0
Airport,Housing high density,1,-9999.0
Airport,Housing high density,2,-9999.0
Airport,Housing high density,3,-0.47185614748642785
Airport,Housing high density,4,-9999.0
Airport,Housing high density,5,-0.71489419617272232
Airport,Housing high density,6,0.033293830833477984
Airport,Housing high density,7,0.4089574447943633
Airport,Housing high density,8,0.32977619874673852
Airport,Industry,0,-9999.0
Airport,Industry,1,0.33195709321835221
Airport,Industry,2,0.43207224610162009
Airport,Industry,3,0.46585067247957856
Airport,Industry,4,0.50804835227403344
Airport,Industry,5,0.51938827803101539
Airport,Industry,6,0.52701266624677179
Airport,Industry,7,0.49828851498487725
Airport,Industry,8,0.51330733918470706
Airport,Services,0,-9999.0
Airport,Services,1,-9999.0
Airport,Services,2,0.11619312939871973
Airport,Services,3,0.29228438845440091
Airport,Services,4,0.16734565184610098
