from,to,d,EF
Pastures,Housing high density,7,-0.14837481505607769
Pastures,Housing high density,8,-0.11677159616553338
Pastures,Industry,0,-0.21503929095877891
Pastures,Industry,1,-0.15909984686410386
Pastures,Industry,2,-0.12627789064147396
Pastures,Industry,3,-0.11749358576991563
Pastures,Industry,4,-0.095164150808712322
Pastures,Industry,5,-0.069095790494993939
Pastures,Industry,6,-0.046501383445614768
Pastures,Industry,7,-0.041258797495742024
Pastures,Industry,8,-0.046010314061284044
Pastures,Services,0,-0.48231307422817776
Pastures,Services,1,-0.59865163907456009
Pastures,Services,2,-0.44612158275576058
Pastures,Services,3,-0.40262946319463211
Pastures,Services,4,-0.30862146763914022
Pastures,Services,5,-0.18113418781154009
Pastures,Services,6,-0.10709719486510898
Pastures,Services,7,-0.11008191342148443
Pastures,Services,8,-0.093020247600051717
Pastures,Socio cultural uses,0,-1.1021018325165717
Pastures,Socio cultural uses,1,-0.63804305063615108
Pastures,Socio cultural uses,2,-0.45338051162968968
Pastures,Socio cultural uses,3,-0.32653244770703865
Pastures,Socio cultural uses,4,-0.21112402163917615
Pastures,Socio cultural uses,5,-0.14049752368330143
Pastures,Socio cultural uses,6,-0.095972332058184728
Pastures,Socio cultural uses,7,-0.096463183999434682
Pastures,Socio cultural uses,8,-0.081643946995930056
Pastures,Forest,0,-0.22407609016113275
Pastures,Forest,1,-0.19540157539073752
Pastures,Forest,2,-0.15240631826708059
Pastures,Forest,3,-0.13376209831840841
Pastures,Forest,4,-0.11399780360553347
Pastures,Forest,5,-0.1050905057517179
Pastures,Forest,6,-0.094516420114219152
Pastures,Forest,7,-0.096807400154933373
Pastures,Forest,8,-0.089175752627474333
Pastures,Extensive grasslands,0,-0.030607415135237907
Pastures,Extensive grasslands,1,0.0060594945367117865
Pastures,Extensive grasslands,2,0.012071455783250279
Pastures,Extensive grasslands,3,0.012391043477461427
Pastures,Extensive grasslands,4,0.00072549932237425837
Pastures,Extensive grasslands,5,-0.0060992147636390482
Pastures,Extensive grasslands,6,-0.01652278106732542
Pastures,Extensive grasslands,7,-0.011540673243395647
Pastures,Extensive grasslands,8,-0.014677889745584512
Pastures,Nature,0,-0.15874294020329971
Pastures,Nature,1,-0.19102100796509622
Pastures,Nature,2,-0.1724065580013103
Pastures,Nature,3,-0.169265301690185
Pastures,Nature,4,-0.1575638598222795
Pastures,Nature,5,-0.15648624161827757
Pastures,Nature,6,-0.16456982701010914
Pastures,Nature,7,-0.15896912684187298
Pastures,Nature,8,-0.15216132160183626
Pastures,Recreation areas,0,-0.21636323279214742
Pastures,Recreation areas,1,-0.23509127901061738
Pastures,Recreation areas,2,-0.18816602167629615
Pastures,Recreation areas,3,-0.16228724584481422
Pastures,Recreation areas,4,-0.15082070398097935
Pastures,Recreation areas,5,-0.12157023678067905
Pastures,Recreation areas,6,-0.10754112635657172
Pastures,Recreation areas,7,-0.081745093278522779
Pastures,Recreation areas,8,-0.070538836318036049
Arable land,Greenhouses,0,-0.14687384410735846
Arable land,Greenhouses,1,-0.22492520584187126
Arable land,Greenhouses,2,-0.15933586351815063
Arable land,Greenhouses,3,-0.099218188422512385
Arable land,Greenhouses,4,-0.093010763486819636
Arable land,Greenhouses,5,-0.10826328607906385
Arable land,Greenhouses,6,-0.11563918139046003
Arable land,Greenhouses,7,-0.14535722052234168
Arable land,Greenhouses,8,-0.17802493632028113
Arable land,Housing low density,0,-0.26716994993332582
Arable land,Housing low density,1,-0.37151771052854715
Arable land,Housing low density,2,-0.32300741588933779
Arable land,Housing low density,3,-0.27034081400403753
Arable land,Housing low density,4,-0.21566815476617995
Arable land,Housing low density,5,-0.17940377612397332
Arable land,Housing low density,6,-0.15163435674996009
Arable land,Housing low density,7,-0.12279773048485126
Arable land,Housing low density,8,-0.12554465260375663
Arable land,Housing high density,0,-0.94516865628249302
Arable land,Housing high density,1,-1.2461986519464743
Arable land,Housing high density,2,-0.83401820415982642
Arable land,Housing high density,3,-0.63223943731880428
Arable land,Housing high density,4,-0.51356936597053626
Arable land,Housing high density,5,-0.46187765341786718
Arable land,Housing high density,6,-0.40623817976141557
Arable land,Housing high density,7,-0.35243201268561081
Arable land,Housing high density,8,-0.35919344711159762
Arable land,Industry,0,-0.33593008032740734
Arable land,Industry,1,-0.33219221725176551
Arable land,Industry,2,-0.23715545700295984
Arable land,Industry,3,-0.19611652183217496
Arable land,Industry,4,-0.15814059870364711
Arable land,Industry,5,-0.14385165716195558
Arable land,Industry,6,-0.13935040161159185
Arable land,Industry,7,-0.12061902716276639
Arable land,Industry,8,-0.090439269726920291
Arable land,Services,0,-0.78308811166962655
Arable land,Services,1,-0.68617809866157009
Arable land,Services,2,-0.71614132203901337
Arable land,Services,3,-0.54005006298333214
Arable land,Services,4,-0.41801383851525103
Arable land,Services,5,-0.44316930556252476
Arable land,Services,6,-0.37305016692805648
Arable land,Services,7,-0.376874838073262
Arable land,Services,8,-0.33123688011109248
Arable land,Socio cultural uses,0,-0.87999812467768301
Arable land,Socio cultural uses,1,-0.72239027131601485
Arable land,Socio cultural uses,2,-0.69200764232229384
Arable land,Socio cultural uses,3,-0.50537473751807538
Arable land,Socio cultural uses,4,-0.43253857129252199
Arable land,Socio cultural uses,5,-0.30860935513997118
Arable land,Socio cultural uses,6,-0.26586082266680933
Arable land,Socio cultural uses,7,-0.23386199999938614
Arable land,Socio cultural uses,8,-0.26633014808744776
Arable land,Forest,0,-0.19385790856115712
Arable land,Forest,1,-0.096503870766050173
Arable land,Forest,2,-0.014593766805746618
Arable land,Forest,3,-0.013775199663309612
Arable land,Forest,4,-0.0034728839702877529
Arable land,Forest,5,0.011391523897069487
Arable land,Forest,6,0.027653691066252265
Arable land,Forest,7,0.042087196843541515
Arable land,Forest,8,0.045328841873559927
Arable land,Extensive grasslands,0,-0.43859242222455513
Arable land,Extensive grasslands,1,-0.096404812846195342
Arable land,Extensive grasslands,2,-0.062533185843322611
Arable land,Extensive grasslands,3,0.04603126931648964
Arable land,Extensive grasslands,4,0.057422192477830356
Arable land,Extensive grasslands,5,0.046426659221426962
Arable land,Extensive grasslands,6,0.067868661302285027
Arable land,Extensive grasslands,7,0.082529105201461297
Arable land,Extensive grasslands,8,0.096568422095165224
Arable land,Nature,0,-0.11004135290931095
Arable land,Nature,1,-0.062890154489276803
Arable land,Nature,2,-0.023412245656970344
Arable land,Nature,3,0.017714647301162196
Arable land,Nature,4,0.018210439233462571
Arable land,Nature,5,0.020504804553656143
Arable land,Nature,6,0.031303130946808186
Arable land,Nature,7,0.035229059882939166
Arable land,Nature,8,0.053999477902893674
Arable land,Recreation areas,0,-0.61404828324165261
Arable land,Recreation areas,1,-0.40796699333455877
Arable land,Recreation areas,2,-0.32479170198918117
Arable land,Recreation areas,3,-0.27899733140420441
Arable land,Recreation areas,4,-0.24337503546073477
